Unnamed: 0,location,genre,lat,lng,count,prop,relative
7,"Adelaide SA, Australia",8bit,-34.9284989,138.6007456,8,0.0012620287111531788,1.8811685103769418
15,"Adelaide SA, Australia",acoustic,-34.9284989,138.6007456,63,0.009938476100331285,1.770542801938752
23,"Adelaide SA, Australia",alt country,-34.9284989,138.6007456,9,0.001419782300047326,0.7962319554157242
27,"Adelaide SA, Australia",alternative,-34.9284989,138.6007456,257,0.04054267234579586,1.7060934364885258
32,"Adelaide SA, Australia",alternative pop,-34.9284989,138.6007456,12,0.001893043066729768,1.6168196106390058
34,"Adelaide SA, Australia",alternative rock,-34.9284989,138.6007456,53,0.00836094021138981,2.484335176563381
35,"Adelaide SA, Australia",ambience,-34.9284989,138.6007456,8,0.0012620287111531788,0.8321782701177859
36,"Adelaide SA, Australia",ambient,-34.9284989,138.6007456,115,0.018141662722826944,0.7853052280784246
38,"Adelaide SA, Australia",ambient electronic,-34.9284989,138.6007456,37,0.005836882789083452,3.4751484589820265
50,"Adelaide SA, Australia",art rock,-34.9284989,138.6007456,7,0.0011042751222590313,1.0593893755789838
52,"Adelaide SA, Australia",atmospheric,-34.9284989,138.6007456,29,0.004574854077930273,2.7838327024088327
53,"Adelaide SA, Australia",atmospheric black metal,-34.9284989,138.6007456,7,0.0011042751222590313,1.4037543094279237
54,"Adelaide SA, Australia",australian,-34.9284989,138.6007456,21,0.003312825366777094,2.7015676324177296
58,"Adelaide SA, Australia",baile funk,-34.9284989,138.6007456,7,0.0011042751222590313,1.622939446629014
59,"Adelaide SA, Australia",balearic,-34.9284989,138.6007456,22,0.0034705789556712416,2.107303526269211
65,"Adelaide SA, Australia",bass,-34.9284989,138.6007456,7,0.0011042751222590313,0.1952899283678758
66,"Adelaide SA, Australia",batcave,-34.9284989,138.6007456,8,0.0012620287111531788,4.49434670359816
70,"Adelaide SA, Australia",beats,-34.9284989,138.6007456,30,0.00473260766682442,1.0485254277714358
80,"Adelaide SA, Australia",black metal,-34.9284989,138.6007456,51,0.008045433033601515,1.8470379184527512
88,"Adelaide SA, Australia",blues,-34.9284989,138.6007456,42,0.006625650733554188,2.020064376459936
89,"Adelaide SA, Australia",blues rock,-34.9284989,138.6007456,22,0.0034705789556712416,4.079168604880769
92,"Adelaide SA, Australia",boom bap,-34.9284989,138.6007456,7,0.0011042751222590313,0.6250771713017976
98,"Adelaide SA, Australia",breakbeat,-34.9284989,138.6007456,10,0.0015775358889414735,0.5214832538034415
99,"Adelaide SA, Australia",breakcore,-34.9284989,138.6007456,14,0.0022085502445180626,1.4092697385119168
109,"Adelaide SA, Australia",celtic,-34.9284989,138.6007456,14,0.0022085502445180626,2.7052322982217825
115,"Adelaide SA, Australia",chill,-34.9284989,138.6007456,12,0.001893043066729768,0.8078217735057018
117,"Adelaide SA, Australia",chillout,-34.9284989,138.6007456,10,0.0015775358889414735,0.6116117740095766
120,"Adelaide SA, Australia",chip,-34.9284989,138.6007456,12,0.001893043066729768,3.9449236715545415
121,"Adelaide SA, Australia",chiptune,-34.9284989,138.6007456,10,0.0015775358889414735,1.200363505730314
128,"Adelaide SA, Australia",classical,-34.9284989,138.6007456,60,0.00946521533364884,3.8618762967006566
132,"Adelaide SA, Australia",coldwave,-34.9284989,138.6007456,13,0.0020507966556239155,1.561604000579112
146,"Adelaide SA, Australia",country,-34.9284989,138.6007456,16,0.002524057422306357,1.0922789457470152
159,"Adelaide SA, Australia",dance,-34.9284989,138.6007456,47,0.007414418678024925,1.5336722745822404
160,"Adelaide SA, Australia",dance punk,-34.9284989,138.6007456,11,0.0017352894778356208,3.7946625678763968
161,"Adelaide SA, Australia",dark,-34.9284989,138.6007456,10,0.0015775358889414735,1.0487606564567151
162,"Adelaide SA, Australia",dark ambient,-34.9284989,138.6007456,27,0.004259346900141978,1.353738410510816
169,"Adelaide SA, Australia",darkwave,-34.9284989,138.6007456,21,0.003312825366777094,1.3029671861085608
172,"Adelaide SA, Australia",death metal,-34.9284989,138.6007456,61,0.009622968922542987,2.1924893631106044
175,"Adelaide SA, Australia",deathrock,-34.9284989,138.6007456,10,0.0015775358889414735,2.645635919605546
177,"Adelaide SA, Australia",deep house,-34.9284989,138.6007456,65,0.010253983278119577,1.1807350606446974
182,"Adelaide SA, Australia",desert rock,-34.9284989,138.6007456,10,0.0015775358889414735,2.9565703996498836
186,"Adelaide SA, Australia",disco,-34.9284989,138.6007456,38,0.005994636377977599,1.045081662663981
191,"Adelaide SA, Australia",diy,-34.9284989,138.6007456,8,0.0012620287111531788,0.8215353120767344
193,"Adelaide SA, Australia",doom,-34.9284989,138.6007456,21,0.003312825366777094,1.3366351041844504
194,"Adelaide SA, Australia",doom metal,-34.9284989,138.6007456,11,0.0017352894778356208,0.8333542035547887
198,"Adelaide SA, Australia",downtempo,-34.9284989,138.6007456,60,0.00946521533364884,1.7345953371172589
201,"Adelaide SA, Australia",dream pop,-34.9284989,138.6007456,30,0.00473260766682442,1.530679306624182
204,"Adelaide SA, Australia",drone,-34.9284989,138.6007456,32,0.005048114844612715,0.8773517981907417
206,"Adelaide SA, Australia",drum & bass,-34.9284989,138.6007456,25,0.003943839722353683,0.7290981222857655
207,"Adelaide SA, Australia",drums,-34.9284989,138.6007456,17,0.002681811011200505,3.8224956634774983
208,"Adelaide SA, Australia",dub,-34.9284989,138.6007456,7,0.0011042751222590313,0.19500371133078814
213,"Adelaide SA, Australia",dungeon synth,-34.9284989,138.6007456,7,0.0011042751222590313,1.0024646337596463
